Layer_1 271517 | Layer_2 542961 | Layer_3 632681
Epoch 00000 | Loss 1.3376 | Accuracy 0.8931 | Time : 1.6215 | Loop_Time : 0.0966 | Model_Time : 1.5249 | x_y_time : 0.0002 | pred_time : 1.1515 | backward_time : 0.3345 | optim_time : 0.0059 
Epoch 00001 | Loss 0.4706 | Accuracy 0.9084 | Time : 0.7824 | Loop_Time : 0.0878 | Model_Time : 0.6946 | x_y_time : 0.0001 | pred_time : 0.3231 | backward_time : 0.3330 | optim_time : 0.0047 
Epoch 00002 | Loss 0.3653 | Accuracy 0.9104 | Time : 0.7815 | Loop_Time : 0.0876 | Model_Time : 0.6938 | x_y_time : 0.0001 | pred_time : 0.3231 | backward_time : 0.3325 | optim_time : 0.0048 
Epoch 00003 | Loss 0.3302 | Accuracy 0.9108 | Time : 0.7823 | Loop_Time : 0.0884 | Model_Time : 0.6938 | x_y_time : 0.0001 | pred_time : 0.3231 | backward_time : 0.3328 | optim_time : 0.0047 
Epoch 00004 | Loss 0.3097 | Accuracy 0.9109 | Time : 0.7815 | Loop_Time : 0.0877 | Model_Time : 0.6938 | x_y_time : 0.0001 | pred_time : 0.3231 | backward_time : 0.3327 | optim_time : 0.0051 
Epoch 00005 | Loss 0.2973 | Accuracy 0.9108 | Time : 0.7815 | Loop_Time : 0.0878 | Model_Time : 0.6937 | x_y_time : 0.0001 | pred_time : 0.3229 | backward_time : 0.3328 | optim_time : 0.0050 
Epoch 00006 | Loss 0.2886 | Accuracy 0.9109 | Time : 0.7812 | Loop_Time : 0.0874 | Model_Time : 0.6937 | x_y_time : 0.0001 | pred_time : 0.3229 | backward_time : 0.3329 | optim_time : 0.0052 
Epoch 00007 | Loss 0.2819 | Accuracy 0.9110 | Time : 0.7821 | Loop_Time : 0.0877 | Model_Time : 0.6944 | x_y_time : 0.0001 | pred_time : 0.3234 | backward_time : 0.3330 | optim_time : 0.0054 
Epoch 00008 | Loss 0.2769 | Accuracy 0.9110 | Time : 0.7826 | Loop_Time : 0.0882 | Model_Time : 0.6944 | x_y_time : 0.0001 | pred_time : 0.3234 | backward_time : 0.3329 | optim_time : 0.0050 
Epoch 00009 | Loss 0.2727 | Accuracy 0.9110 | Time : 0.7825 | Loop_Time : 0.0878 | Model_Time : 0.6946 | x_y_time : 0.0001 | pred_time : 0.3236 | backward_time : 0.3329 | optim_time : 0.0050 
Epoch 00010 | Loss 0.2691 | Accuracy 0.9112 | Time : 0.7826 | Loop_Time : 0.0878 | Model_Time : 0.6948 | x_y_time : 0.0001 | pred_time : 0.3237 | backward_time : 0.3329 | optim_time : 0.0049 
Epoch 00011 | Loss 0.2660 | Accuracy 0.9115 | Time : 0.7825 | Loop_Time : 0.0876 | Model_Time : 0.6949 | x_y_time : 0.0001 | pred_time : 0.3233 | backward_time : 0.3334 | optim_time : 0.0050 
Epoch 00012 | Loss 0.2633 | Accuracy 0.9118 | Time : 0.7827 | Loop_Time : 0.0884 | Model_Time : 0.6942 | x_y_time : 0.0001 | pred_time : 0.3230 | backward_time : 0.3329 | optim_time : 0.0050 
Epoch 00013 | Loss 0.2607 | Accuracy 0.9122 | Time : 0.7822 | Loop_Time : 0.0876 | Model_Time : 0.6945 | x_y_time : 0.0001 | pred_time : 0.3237 | backward_time : 0.3330 | optim_time : 0.0051 
Epoch 00014 | Loss 0.2582 | Accuracy 0.9125 | Time : 0.7838 | Loop_Time : 0.0884 | Model_Time : 0.6954 | x_y_time : 0.0001 | pred_time : 0.3238 | backward_time : 0.3334 | optim_time : 0.0049 
Epoch 00015 | Loss 0.2558 | Accuracy 0.9129 | Time : 0.7829 | Loop_Time : 0.0874 | Model_Time : 0.6954 | x_y_time : 0.0001 | pred_time : 0.3239 | backward_time : 0.3334 | optim_time : 0.0052 
Epoch 00016 | Loss 0.2540 | Accuracy 0.9136 | Time : 0.7838 | Loop_Time : 0.0877 | Model_Time : 0.6960 | x_y_time : 0.0001 | pred_time : 0.3241 | backward_time : 0.3337 | optim_time : 0.0050 
Epoch 00017 | Loss 0.2519 | Accuracy 0.9138 | Time : 0.7835 | Loop_Time : 0.0874 | Model_Time : 0.6961 | x_y_time : 0.0001 | pred_time : 0.3243 | backward_time : 0.3336 | optim_time : 0.0049 
