Dataset = igb-small, batch_size = 8192
Layer_1 73414 | Layer_2 339500 | Layer_3 725156
Epoch 00000 | Loss 1.2217 | Accuracy 0.7070 | Time : 6.6482 | Loop_Time : 0.4645 | Model_Time : 6.1836 | x_y_time : 0.0015 | pred_time : 3.8163 | backward_time : 1.6196 | optim_time : 0.0522 
Epoch 00001 | Loss 0.8198 | Accuracy 0.7240 | Time : 5.7149 | Loop_Time : 0.4484 | Model_Time : 5.2664 | x_y_time : 0.0008 | pred_time : 2.8950 | backward_time : 1.6234 | optim_time : 0.0488 
Epoch 00002 | Loss 0.7791 | Accuracy 0.7312 | Time : 5.7239 | Loop_Time : 0.4468 | Model_Time : 5.2770 | x_y_time : 0.0007 | pred_time : 2.9072 | backward_time : 1.6159 | optim_time : 0.0481 
Epoch 00003 | Loss 0.7576 | Accuracy 0.7337 | Time : 5.7374 | Loop_Time : 0.4528 | Model_Time : 5.2844 | x_y_time : 0.0008 | pred_time : 2.9043 | backward_time : 1.6254 | optim_time : 0.0481 
Epoch 00004 | Loss 0.7467 | Accuracy 0.7370 | Time : 5.7421 | Loop_Time : 0.4428 | Model_Time : 5.2991 | x_y_time : 0.0008 | pred_time : 2.9189 | backward_time : 1.6193 | optim_time : 0.0450 
Epoch 00005 | Loss 0.7381 | Accuracy 0.7380 | Time : 5.7580 | Loop_Time : 0.4448 | Model_Time : 5.3131 | x_y_time : 0.0007 | pred_time : 2.9267 | backward_time : 1.6235 | optim_time : 0.0464 
Epoch 00006 | Loss 0.7331 | Accuracy 0.7397 | Time : 5.7792 | Loop_Time : 0.4461 | Model_Time : 5.3331 | x_y_time : 0.0008 | pred_time : 2.9404 | backward_time : 1.6239 | optim_time : 0.0454 
Epoch 00007 | Loss 0.7283 | Accuracy 0.7388 | Time : 5.7907 | Loop_Time : 0.4449 | Model_Time : 5.3457 | x_y_time : 0.0008 | pred_time : 2.9457 | backward_time : 1.6313 | optim_time : 0.0473 
Epoch 00008 | Loss 0.7250 | Accuracy 0.7403 | Time : 5.7952 | Loop_Time : 0.4448 | Model_Time : 5.3503 | x_y_time : 0.0007 | pred_time : 2.9465 | backward_time : 1.6328 | optim_time : 0.0468 
Epoch 00009 | Loss 0.7230 | Accuracy 0.7411 | Time : 5.8050 | Loop_Time : 0.4437 | Model_Time : 5.3612 | x_y_time : 0.0007 | pred_time : 2.9546 | backward_time : 1.6321 | optim_time : 0.0452 
Epoch 00010 | Loss 0.7218 | Accuracy 0.7396 | Time : 5.8018 | Loop_Time : 0.4418 | Model_Time : 5.3599 | x_y_time : 0.0007 | pred_time : 2.9509 | backward_time : 1.6357 | optim_time : 0.0467 
Epoch 00011 | Loss 0.7203 | Accuracy 0.7417 | Time : 5.8018 | Loop_Time : 0.4438 | Model_Time : 5.3579 | x_y_time : 0.0007 | pred_time : 2.9546 | backward_time : 1.6263 | optim_time : 0.0475 
Epoch 00012 | Loss 0.7186 | Accuracy 0.7410 | Time : 5.8280 | Loop_Time : 0.4498 | Model_Time : 5.3780 | x_y_time : 0.0008 | pred_time : 2.9616 | backward_time : 1.6380 | optim_time : 0.0475 
Epoch 00013 | Loss 0.7172 | Accuracy 0.7405 | Time : 5.8411 | Loop_Time : 0.4476 | Model_Time : 5.3933 | x_y_time : 0.0008 | pred_time : 2.9615 | backward_time : 1.6554 | optim_time : 0.0479 
Epoch 00014 | Loss 0.7175 | Accuracy 0.7412 | Time : 5.8292 | Loop_Time : 0.4500 | Model_Time : 5.3791 | x_y_time : 0.0007 | pred_time : 2.9582 | backward_time : 1.6479 | optim_time : 0.0493 
Epoch 00015 | Loss 0.7160 | Accuracy 0.7409 | Time : 5.8399 | Loop_Time : 0.4503 | Model_Time : 5.3895 | x_y_time : 0.0008 | pred_time : 2.9648 | backward_time : 1.6465 | optim_time : 0.0472 
Epoch 00016 | Loss 0.7148 | Accuracy 0.7421 | Time : 5.8426 | Loop_Time : 0.4547 | Model_Time : 5.3878 | x_y_time : 0.0009 | pred_time : 2.9601 | backward_time : 1.6514 | optim_time : 0.0490 
