Dataset = ogbn-arxiv, batch_size = 1024
Layer_1 4860 | Layer_2 13584 | Layer_3 24980
Epoch 00000 | Loss 2.6355 | Accuracy 0.4581 | Time : 1.7728 | Loop_Time : 0.2755 | Model_Time : 1.4972 | x_y_time : 0.0020 | pred_time : 1.1301 | backward_time : 0.2925 | optim_time : 0.0651 
Epoch 00001 | Loss 1.9228 | Accuracy 0.5249 | Time : 0.8934 | Loop_Time : 0.2804 | Model_Time : 0.6129 | x_y_time : 0.0010 | pred_time : 0.2279 | backward_time : 0.3105 | optim_time : 0.0660 
Epoch 00002 | Loss 1.6816 | Accuracy 0.5551 | Time : 0.8763 | Loop_Time : 0.2726 | Model_Time : 0.6036 | x_y_time : 0.0010 | pred_time : 0.2238 | backward_time : 0.3089 | optim_time : 0.0625 
Epoch 00003 | Loss 1.5665 | Accuracy 0.5738 | Time : 0.8806 | Loop_Time : 0.2729 | Model_Time : 0.6075 | x_y_time : 0.0010 | pred_time : 0.2248 | backward_time : 0.3094 | optim_time : 0.0647 
Epoch 00004 | Loss 1.5000 | Accuracy 0.5792 | Time : 0.8840 | Loop_Time : 0.2740 | Model_Time : 0.6099 | x_y_time : 0.0010 | pred_time : 0.2250 | backward_time : 0.3111 | optim_time : 0.0655 
Epoch 00005 | Loss 1.4484 | Accuracy 0.5867 | Time : 0.8849 | Loop_Time : 0.2744 | Model_Time : 0.6103 | x_y_time : 0.0010 | pred_time : 0.2251 | backward_time : 0.3106 | optim_time : 0.0662 
Epoch 00006 | Loss 1.4155 | Accuracy 0.5875 | Time : 0.8970 | Loop_Time : 0.2810 | Model_Time : 0.6158 | x_y_time : 0.0010 | pred_time : 0.2289 | backward_time : 0.3107 | optim_time : 0.0677 
Epoch 00007 | Loss 1.3835 | Accuracy 0.5886 | Time : 0.8859 | Loop_Time : 0.2753 | Model_Time : 0.6104 | x_y_time : 0.0010 | pred_time : 0.2246 | backward_time : 0.3108 | optim_time : 0.0666 
Epoch 00008 | Loss 1.3649 | Accuracy 0.5949 | Time : 0.8831 | Loop_Time : 0.2754 | Model_Time : 0.6075 | x_y_time : 0.0010 | pred_time : 0.2269 | backward_time : 0.3049 | optim_time : 0.0672 
Epoch 00009 | Loss 1.3482 | Accuracy 0.5934 | Time : 0.8973 | Loop_Time : 0.2822 | Model_Time : 0.6150 | x_y_time : 0.0011 | pred_time : 0.2283 | backward_time : 0.3105 | optim_time : 0.0676 
Epoch 00010 | Loss 1.3333 | Accuracy 0.5957 | Time : 0.8797 | Loop_Time : 0.2710 | Model_Time : 0.6086 | x_y_time : 0.0010 | pred_time : 0.2237 | backward_time : 0.3109 | optim_time : 0.0656 
Epoch 00011 | Loss 1.3207 | Accuracy 0.5933 | Time : 0.8838 | Loop_Time : 0.2729 | Model_Time : 0.6107 | x_y_time : 0.0010 | pred_time : 0.2240 | backward_time : 0.3110 | optim_time : 0.0673 
Epoch 00012 | Loss 1.3057 | Accuracy 0.6049 | Time : 0.8791 | Loop_Time : 0.2714 | Model_Time : 0.6076 | x_y_time : 0.0010 | pred_time : 0.2238 | backward_time : 0.3107 | optim_time : 0.0647 
Epoch 00013 | Loss 1.2938 | Accuracy 0.6025 | Time : 0.8967 | Loop_Time : 0.2810 | Model_Time : 0.6156 | x_y_time : 0.0011 | pred_time : 0.2287 | backward_time : 0.3107 | optim_time : 0.0676 
Epoch 00014 | Loss 1.2940 | Accuracy 0.6028 | Time : 0.8909 | Loop_Time : 0.2774 | Model_Time : 0.6134 | x_y_time : 0.0011 | pred_time : 0.2272 | backward_time : 0.3108 | optim_time : 0.0669 
Epoch 00015 | Loss 1.2800 | Accuracy 0.6036 | Time : 0.8822 | Loop_Time : 0.2725 | Model_Time : 0.6095 | x_y_time : 0.0010 | pred_time : 0.2241 | backward_time : 0.3109 | optim_time : 0.0661 
Epoch 00016 | Loss 1.2737 | Accuracy 0.6010 | Time : 0.8936 | Loop_Time : 0.2792 | Model_Time : 0.6143 | x_y_time : 0.0010 | pred_time : 0.2275 | backward_time : 0.3112 | optim_time : 0.0670 
Epoch 00017 | Loss 1.2669 | Accuracy 0.6029 | Time : 0.8807 | Loop_Time : 0.2720 | Model_Time : 0.6085 | x_y_time : 0.0010 | pred_time : 0.2236 | backward_time : 0.3107 | optim_time : 0.0657 
Epoch 00018 | Loss 1.2631 | Accuracy 0.6022 | Time : 0.8968 | Loop_Time : 0.2810 | Model_Time : 0.6156 | x_y_time : 0.0010 | pred_time : 0.2278 | backward_time : 0.3104 | optim_time : 0.0689 
Epoch 00019 | Loss 1.2563 | Accuracy 0.6043 | Time : 0.8798 | Loop_Time : 0.2712 | Model_Time : 0.6085 | x_y_time : 0.0010 | pred_time : 0.2240 | backward_time : 0.3107 | optim_time : 0.0655 
Epoch 00020 | Loss 1.2542 | Accuracy 0.6074 | Time : 0.8888 | Loop_Time : 0.2768 | Model_Time : 0.6119 | x_y_time : 0.0010 | pred_time : 0.2261 | backward_time : 0.3105 | optim_time : 0.0668 
Epoch 00021 | Loss 1.2457 | Accuracy 0.6067 | Time : 0.8824 | Loop_Time : 0.2720 | Model_Time : 0.6103 | x_y_time : 0.0010 | pred_time : 0.2242 | backward_time : 0.3109 | optim_time : 0.0668 
Epoch 00022 | Loss 1.2452 | Accuracy 0.6074 | Time : 0.8833 | Loop_Time : 0.2728 | Model_Time : 0.6104 | x_y_time : 0.0010 | pred_time : 0.2247 | backward_time : 0.3110 | optim_time : 0.0662 
Epoch 00023 | Loss 1.2383 | Accuracy 0.6092 | Time : 0.8860 | Loop_Time : 0.2756 | Model_Time : 0.6103 | x_y_time : 0.0010 | pred_time : 0.2255 | backward_time : 0.3107 | optim_time : 0.0656 
Epoch 00024 | Loss 1.2379 | Accuracy 0.6070 | Time : 0.8847 | Loop_Time : 0.2737 | Model_Time : 0.6109 | x_y_time : 0.0010 | pred_time : 0.2261 | backward_time : 0.3106 | optim_time : 0.0658 
Epoch 00025 | Loss 1.2300 | Accuracy 0.6110 | Time : 0.8807 | Loop_Time : 0.2721 | Model_Time : 0.6085 | x_y_time : 0.0010 | pred_time : 0.2245 | backward_time : 0.3110 | optim_time : 0.0647 
Epoch 00026 | Loss 1.2277 | Accuracy 0.6090 | Time : 0.8850 | Loop_Time : 0.2743 | Model_Time : 0.6106 | x_y_time : 0.0010 | pred_time : 0.2252 | backward_time : 0.3109 | optim_time : 0.0659 
Epoch 00027 | Loss 1.2230 | Accuracy 0.6032 | Time : 0.8957 | Loop_Time : 0.2802 | Model_Time : 0.6154 | x_y_time : 0.0011 | pred_time : 0.2277 | backward_time : 0.3106 | optim_time : 0.0686 
Epoch 00028 | Loss 1.2248 | Accuracy 0.6095 | Time : 0.8823 | Loop_Time : 0.2724 | Model_Time : 0.6099 | x_y_time : 0.0010 | pred_time : 0.2245 | backward_time : 0.3102 | optim_time : 0.0667 
Epoch 00029 | Loss 1.2210 | Accuracy 0.6098 | Time : 0.8986 | Loop_Time : 0.2815 | Model_Time : 0.6169 | x_y_time : 0.0011 | pred_time : 0.2285 | backward_time : 0.3111 | optim_time : 0.0688 
Epoch 00030 | Loss 1.2186 | Accuracy 0.6103 | Time : 0.8898 | Loop_Time : 0.2752 | Model_Time : 0.6144 | x_y_time : 0.0010 | pred_time : 0.2275 | backward_time : 0.3114 | optim_time : 0.0669 
Epoch 00031 | Loss 1.2155 | Accuracy 0.6099 | Time : 0.8960 | Loop_Time : 0.2803 | Model_Time : 0.6156 | x_y_time : 0.0011 | pred_time : 0.2287 | backward_time : 0.3112 | optim_time : 0.0671 
Epoch 00032 | Loss 1.2151 | Accuracy 0.6126 | Time : 0.8891 | Loop_Time : 0.2764 | Model_Time : 0.6126 | x_y_time : 0.0010 | pred_time : 0.2262 | backward_time : 0.3107 | optim_time : 0.0672 
Epoch 00033 | Loss 1.2047 | Accuracy 0.6093 | Time : 0.8945 | Loop_Time : 0.2805 | Model_Time : 0.6138 | x_y_time : 0.0011 | pred_time : 0.2279 | backward_time : 0.3105 | optim_time : 0.0667 
Epoch 00034 | Loss 1.2039 | Accuracy 0.6075 | Time : 0.8801 | Loop_Time : 0.2726 | Model_Time : 0.6074 | x_y_time : 0.0010 | pred_time : 0.2241 | backward_time : 0.3104 | optim_time : 0.0643 
Epoch 00035 | Loss 1.2018 | Accuracy 0.6136 | Time : 0.8845 | Loop_Time : 0.2753 | Model_Time : 0.6090 | x_y_time : 0.0010 | pred_time : 0.2252 | backward_time : 0.3105 | optim_time : 0.0648 
Epoch 00036 | Loss 1.1993 | Accuracy 0.6091 | Time : 0.8964 | Loop_Time : 0.2819 | Model_Time : 0.6144 | x_y_time : 0.0010 | pred_time : 0.2282 | backward_time : 0.3105 | optim_time : 0.0671 
Epoch 00037 | Loss 1.2052 | Accuracy 0.6138 | Time : 0.8789 | Loop_Time : 0.2723 | Model_Time : 0.6065 | x_y_time : 0.0010 | pred_time : 0.2239 | backward_time : 0.3103 | optim_time : 0.0640 
Epoch 00038 | Loss 1.2002 | Accuracy 0.6133 | Time : 0.8808 | Loop_Time : 0.2717 | Model_Time : 0.6089 | x_y_time : 0.0010 | pred_time : 0.2241 | backward_time : 0.3107 | optim_time : 0.0658 
Epoch 00039 | Loss 1.1934 | Accuracy 0.6109 | Time : 0.8828 | Loop_Time : 0.2737 | Model_Time : 0.6090 | x_y_time : 0.0010 | pred_time : 0.2252 | backward_time : 0.3104 | optim_time : 0.0649 
Epoch 00040 | Loss 1.1972 | Accuracy 0.6131 | Time : 0.8844 | Loop_Time : 0.2748 | Model_Time : 0.6095 | x_y_time : 0.0010 | pred_time : 0.2259 | backward_time : 0.3105 | optim_time : 0.0646 
Epoch 00041 | Loss 1.1941 | Accuracy 0.6120 | Time : 0.8784 | Loop_Time : 0.2715 | Model_Time : 0.6068 | x_y_time : 0.0010 | pred_time : 0.2241 | backward_time : 0.3104 | optim_time : 0.0640 
Epoch 00042 | Loss 1.1910 | Accuracy 0.6157 | Time : 0.8814 | Loop_Time : 0.2728 | Model_Time : 0.6084 | x_y_time : 0.0010 | pred_time : 0.2246 | backward_time : 0.3114 | optim_time : 0.0639 
Epoch 00043 | Loss 1.1909 | Accuracy 0.6149 | Time : 0.8920 | Loop_Time : 0.2789 | Model_Time : 0.6129 | x_y_time : 0.0010 | pred_time : 0.2268 | backward_time : 0.3108 | optim_time : 0.0668 
Epoch 00044 | Loss 1.1853 | Accuracy 0.6140 | Time : 0.8821 | Loop_Time : 0.2734 | Model_Time : 0.6086 | x_y_time : 0.0010 | pred_time : 0.2246 | backward_time : 0.3108 | optim_time : 0.0647 
Epoch 00045 | Loss 1.1892 | Accuracy 0.6093 | Time : 0.8843 | Loop_Time : 0.2744 | Model_Time : 0.6098 | x_y_time : 0.0010 | pred_time : 0.2252 | backward_time : 0.3105 | optim_time : 0.0657 
Epoch 00046 | Loss 1.1880 | Accuracy 0.6118 | Time : 0.8917 | Loop_Time : 0.2802 | Model_Time : 0.6114 | x_y_time : 0.0010 | pred_time : 0.2272 | backward_time : 0.3102 | optim_time : 0.0655 
Epoch 00047 | Loss 1.1823 | Accuracy 0.6115 | Time : 0.8992 | Loop_Time : 0.2837 | Model_Time : 0.6154 | x_y_time : 0.0011 | pred_time : 0.2292 | backward_time : 0.3106 | optim_time : 0.0670 
Epoch 00048 | Loss 1.1799 | Accuracy 0.6147 | Time : 0.8787 | Loop_Time : 0.2727 | Model_Time : 0.6059 | x_y_time : 0.0010 | pred_time : 0.2234 | backward_time : 0.3104 | optim_time : 0.0637 
Epoch 00049 | Loss 1.1834 | Accuracy 0.6155 | Time : 0.8823 | Loop_Time : 0.2730 | Model_Time : 0.6092 | x_y_time : 0.0010 | pred_time : 0.2255 | backward_time : 0.3106 | optim_time : 0.0646 
Epoch 00050 | Loss 1.1787 | Accuracy 0.6126 | Time : 0.8831 | Loop_Time : 0.2733 | Model_Time : 0.6097 | x_y_time : 0.0010 | pred_time : 0.2252 | backward_time : 0.3102 | optim_time : 0.0658 
Epoch 00051 | Loss 1.1786 | Accuracy 0.6076 | Time : 0.8829 | Loop_Time : 0.2733 | Model_Time : 0.6095 | x_y_time : 0.0010 | pred_time : 0.2253 | backward_time : 0.3105 | optim_time : 0.0654 
Epoch 00052 | Loss 1.1813 | Accuracy 0.6138 | Time : 0.8707 | Loop_Time : 0.2673 | Model_Time : 0.6032 | x_y_time : 0.0010 | pred_time : 0.2215 | backward_time : 0.3102 | optim_time : 0.0631 
Epoch 00053 | Loss 1.1757 | Accuracy 0.6129 | Time : 0.8855 | Loop_Time : 0.2743 | Model_Time : 0.6110 | x_y_time : 0.0010 | pred_time : 0.2251 | backward_time : 0.3110 | optim_time : 0.0664 
Epoch 00054 | Loss 1.1809 | Accuracy 0.6099 | Time : 0.8864 | Loop_Time : 0.2737 | Model_Time : 0.6125 | x_y_time : 0.0010 | pred_time : 0.2255 | backward_time : 0.3113 | optim_time : 0.0673 
Epoch 00055 | Loss 1.1731 | Accuracy 0.6121 | Time : 0.8956 | Loop_Time : 0.2808 | Model_Time : 0.6147 | x_y_time : 0.0011 | pred_time : 0.2284 | backward_time : 0.3105 | optim_time : 0.0672 
Epoch 00056 | Loss 1.1701 | Accuracy 0.6112 | Time : 0.8967 | Loop_Time : 0.2820 | Model_Time : 0.6146 | x_y_time : 0.0011 | pred_time : 0.2279 | backward_time : 0.3107 | optim_time : 0.0675 
Epoch 00057 | Loss 1.1702 | Accuracy 0.6157 | Time : 0.8920 | Loop_Time : 0.2795 | Model_Time : 0.6124 | x_y_time : 0.0010 | pred_time : 0.2266 | backward_time : 0.3104 | optim_time : 0.0669 
Epoch 00058 | Loss 1.1703 | Accuracy 0.6200 | Time : 0.8791 | Loop_Time : 0.2729 | Model_Time : 0.6060 | x_y_time : 0.0010 | pred_time : 0.2240 | backward_time : 0.3102 | optim_time : 0.0634 
Epoch 00059 | Loss 1.1690 | Accuracy 0.6151 | Time : 0.8969 | Loop_Time : 0.2823 | Model_Time : 0.6145 | x_y_time : 0.0011 | pred_time : 0.2286 | backward_time : 0.3102 | optim_time : 0.0672 
Epoch 00060 | Loss 1.1663 | Accuracy 0.6111 | Time : 0.8989 | Loop_Time : 0.2841 | Model_Time : 0.6147 | x_y_time : 0.0011 | pred_time : 0.2284 | backward_time : 0.3104 | optim_time : 0.0669 
Epoch 00061 | Loss 1.1683 | Accuracy 0.6138 | Time : 0.8858 | Loop_Time : 0.2757 | Model_Time : 0.6099 | x_y_time : 0.0010 | pred_time : 0.2254 | backward_time : 0.3107 | optim_time : 0.0653 
Epoch 00062 | Loss 1.1693 | Accuracy 0.6133 | Time : 0.8964 | Loop_Time : 0.2814 | Model_Time : 0.6149 | x_y_time : 0.0010 | pred_time : 0.2284 | backward_time : 0.3107 | optim_time : 0.0673 
