Dataset = ogbn-products, batch_size = 2048
Layer_1 31170 | Layer_2 110045 | Layer_3 230792
Epoch 00000 | Loss 1.7857 | Accuracy 0.8228 | Time : 2.4051 | Loop_Time : 0.3979 | Model_Time : 2.0071 | x_y_time : 0.0019 | pred_time : 1.4536 | backward_time : 0.4154 | optim_time : 0.0574 
Epoch 00001 | Loss 0.7300 | Accuracy 0.8534 | Time : 1.4405 | Loop_Time : 0.3411 | Model_Time : 1.0993 | x_y_time : 0.0009 | pred_time : 0.5438 | backward_time : 0.4207 | optim_time : 0.0559 
Epoch 00002 | Loss 0.5780 | Accuracy 0.8647 | Time : 1.4422 | Loop_Time : 0.3425 | Model_Time : 1.0996 | x_y_time : 0.0009 | pred_time : 0.5437 | backward_time : 0.4210 | optim_time : 0.0565 
Epoch 00003 | Loss 0.5053 | Accuracy 0.8720 | Time : 1.4425 | Loop_Time : 0.3418 | Model_Time : 1.1006 | x_y_time : 0.0009 | pred_time : 0.5444 | backward_time : 0.4213 | optim_time : 0.0575 
Epoch 00004 | Loss 0.4661 | Accuracy 0.8755 | Time : 1.4376 | Loop_Time : 0.3398 | Model_Time : 1.0977 | x_y_time : 0.0009 | pred_time : 0.5424 | backward_time : 0.4203 | optim_time : 0.0563 
Epoch 00005 | Loss 0.4404 | Accuracy 0.8790 | Time : 1.4395 | Loop_Time : 0.3404 | Model_Time : 1.0989 | x_y_time : 0.0009 | pred_time : 0.5432 | backward_time : 0.4212 | optim_time : 0.0563 
Epoch 00006 | Loss 0.4181 | Accuracy 0.8818 | Time : 1.4379 | Loop_Time : 0.3393 | Model_Time : 1.0985 | x_y_time : 0.0009 | pred_time : 0.5428 | backward_time : 0.4207 | optim_time : 0.0561 
Epoch 00007 | Loss 0.4023 | Accuracy 0.8839 | Time : 1.4382 | Loop_Time : 0.3393 | Model_Time : 1.0987 | x_y_time : 0.0009 | pred_time : 0.5431 | backward_time : 0.4208 | optim_time : 0.0557 
Epoch 00008 | Loss 0.3870 | Accuracy 0.8864 | Time : 1.4378 | Loop_Time : 0.3394 | Model_Time : 1.0983 | x_y_time : 0.0009 | pred_time : 0.5428 | backward_time : 0.4206 | optim_time : 0.0582 
Epoch 00009 | Loss 0.3772 | Accuracy 0.8887 | Time : 1.4387 | Loop_Time : 0.3403 | Model_Time : 1.0982 | x_y_time : 0.0009 | pred_time : 0.5432 | backward_time : 0.4203 | optim_time : 0.0571 
Epoch 00010 | Loss 0.3681 | Accuracy 0.8887 | Time : 1.4388 | Loop_Time : 0.3396 | Model_Time : 1.0991 | x_y_time : 0.0009 | pred_time : 0.5434 | backward_time : 0.4208 | optim_time : 0.0566 
