Dataset = igb-small, batch_size = 65536
Layer_1 440611 | Layer_2 942305 | Layer_3 1066319
Epoch 00000 | Loss 2.1384 | Accuracy 0.5400 | Time : 3.4748 | Loop_Time : 0.2495 | Model_Time : 3.2252 | x_y_time : 0.0003 | pred_time : 2.1315 | backward_time : 0.9018 | optim_time : 0.0102 
Epoch 00001 | Loss 1.3241 | Accuracy 0.6583 | Time : 2.5669 | Loop_Time : 0.2407 | Model_Time : 2.3262 | x_y_time : 0.0001 | pred_time : 1.2330 | backward_time : 0.9022 | optim_time : 0.0085 
Epoch 00002 | Loss 1.0721 | Accuracy 0.6988 | Time : 2.5674 | Loop_Time : 0.2402 | Model_Time : 2.3272 | x_y_time : 0.0001 | pred_time : 1.2328 | backward_time : 0.9031 | optim_time : 0.0086 
Epoch 00003 | Loss 0.9556 | Accuracy 0.7124 | Time : 2.5693 | Loop_Time : 0.2405 | Model_Time : 2.3288 | x_y_time : 0.0001 | pred_time : 1.2339 | backward_time : 0.9033 | optim_time : 0.0087 
Epoch 00004 | Loss 0.8974 | Accuracy 0.7191 | Time : 2.5724 | Loop_Time : 0.2399 | Model_Time : 2.3324 | x_y_time : 0.0001 | pred_time : 1.2369 | backward_time : 0.9044 | optim_time : 0.0087 
Epoch 00005 | Loss 0.8630 | Accuracy 0.7229 | Time : 2.5791 | Loop_Time : 0.2396 | Model_Time : 2.3395 | x_y_time : 0.0001 | pred_time : 1.2405 | backward_time : 0.9066 | optim_time : 0.0084 
Epoch 00006 | Loss 0.8409 | Accuracy 0.7258 | Time : 2.5738 | Loop_Time : 0.2401 | Model_Time : 2.3337 | x_y_time : 0.0001 | pred_time : 1.2376 | backward_time : 0.9039 | optim_time : 0.0082 
Epoch 00007 | Loss 0.8280 | Accuracy 0.7280 | Time : 2.5794 | Loop_Time : 0.2399 | Model_Time : 2.3394 | x_y_time : 0.0001 | pred_time : 1.2401 | backward_time : 0.9064 | optim_time : 0.0089 
Epoch 00008 | Loss 0.8148 | Accuracy 0.7295 | Time : 2.5783 | Loop_Time : 0.2410 | Model_Time : 2.3373 | x_y_time : 0.0001 | pred_time : 1.2391 | backward_time : 0.9055 | optim_time : 0.0086 
Epoch 00009 | Loss 0.8050 | Accuracy 0.7320 | Time : 2.5815 | Loop_Time : 0.2406 | Model_Time : 2.3408 | x_y_time : 0.0001 | pred_time : 1.2413 | backward_time : 0.9067 | optim_time : 0.0086 
Epoch 00010 | Loss 0.7970 | Accuracy 0.7331 | Time : 2.5811 | Loop_Time : 0.2399 | Model_Time : 2.3411 | x_y_time : 0.0001 | pred_time : 1.2411 | backward_time : 0.9066 | optim_time : 0.0089 
Epoch 00011 | Loss 0.7908 | Accuracy 0.7339 | Time : 2.5839 | Loop_Time : 0.2400 | Model_Time : 2.3438 | x_y_time : 0.0001 | pred_time : 1.2432 | backward_time : 0.9064 | optim_time : 0.0087 
Epoch 00012 | Loss 0.7834 | Accuracy 0.7359 | Time : 2.5841 | Loop_Time : 0.2405 | Model_Time : 2.3436 | x_y_time : 0.0001 | pred_time : 1.2430 | backward_time : 0.9069 | optim_time : 0.0085 
Epoch 00013 | Loss 0.7794 | Accuracy 0.7369 | Time : 2.5837 | Loop_Time : 0.2405 | Model_Time : 2.3432 | x_y_time : 0.0001 | pred_time : 1.2413 | backward_time : 0.9075 | optim_time : 0.0093 
Epoch 00014 | Loss 0.7744 | Accuracy 0.7384 | Time : 2.5867 | Loop_Time : 0.2404 | Model_Time : 2.3463 | x_y_time : 0.0001 | pred_time : 1.2441 | backward_time : 0.9081 | optim_time : 0.0088 
Epoch 00015 | Loss 0.7705 | Accuracy 0.7387 | Time : 2.5869 | Loop_Time : 0.2408 | Model_Time : 2.3460 | x_y_time : 0.0001 | pred_time : 1.2427 | backward_time : 0.9085 | optim_time : 0.0084 
Epoch 00016 | Loss 0.7657 | Accuracy 0.7396 | Time : 2.5904 | Loop_Time : 0.2407 | Model_Time : 2.3496 | x_y_time : 0.0001 | pred_time : 1.2456 | backward_time : 0.9093 | optim_time : 0.0082 
Epoch 00017 | Loss 0.7624 | Accuracy 0.7400 | Time : 2.5871 | Loop_Time : 0.2400 | Model_Time : 2.3471 | x_y_time : 0.0001 | pred_time : 1.2438 | backward_time : 0.9083 | optim_time : 0.0087 
Epoch 00018 | Loss 0.7582 | Accuracy 0.7408 | Time : 2.5912 | Loop_Time : 0.2420 | Model_Time : 2.3492 | x_y_time : 0.0001 | pred_time : 1.2464 | backward_time : 0.9089 | optim_time : 0.0086 
Epoch 00019 | Loss 0.7554 | Accuracy 0.7410 | Time : 2.5938 | Loop_Time : 0.2405 | Model_Time : 2.3532 | x_y_time : 0.0001 | pred_time : 1.2476 | backward_time : 0.9108 | optim_time : 0.0085 
