Dataset = ogbn-arxiv, batch_size = 1024
Layer_1 5745 | Layer_2 19237 | Layer_3 38514
Epoch 00000 | Loss 2.5564 | Accuracy 0.5195 | Time : 2.2088 | Loop_Time : 0.4039 | Model_Time : 1.8048 | x_y_time : 0.0031 | pred_time : 1.2749 | backward_time : 0.4252 | optim_time : 0.0911 
Epoch 00001 | Loss 1.8342 | Accuracy 0.5615 | Time : 1.2799 | Loop_Time : 0.4014 | Model_Time : 0.8784 | x_y_time : 0.0015 | pred_time : 0.3308 | backward_time : 0.4408 | optim_time : 0.0947 
Epoch 00002 | Loss 1.6594 | Accuracy 0.5803 | Time : 1.2812 | Loop_Time : 0.4023 | Model_Time : 0.8788 | x_y_time : 0.0015 | pred_time : 0.3317 | backward_time : 0.4401 | optim_time : 0.0949 
Epoch 00003 | Loss 1.5756 | Accuracy 0.5863 | Time : 1.2760 | Loop_Time : 0.3994 | Model_Time : 0.8764 | x_y_time : 0.0015 | pred_time : 0.3295 | backward_time : 0.4408 | optim_time : 0.0939 
Epoch 00004 | Loss 1.5184 | Accuracy 0.5937 | Time : 1.2883 | Loop_Time : 0.4049 | Model_Time : 0.8833 | x_y_time : 0.0015 | pred_time : 0.3344 | backward_time : 0.4401 | optim_time : 0.0966 
Epoch 00005 | Loss 1.4826 | Accuracy 0.5968 | Time : 1.2977 | Loop_Time : 0.4113 | Model_Time : 0.8863 | x_y_time : 0.0016 | pred_time : 0.3365 | backward_time : 0.4393 | optim_time : 0.0982 
Epoch 00006 | Loss 1.4535 | Accuracy 0.5965 | Time : 1.2705 | Loop_Time : 0.3968 | Model_Time : 0.8735 | x_y_time : 0.0015 | pred_time : 0.3283 | backward_time : 0.4388 | optim_time : 0.0943 
Epoch 00007 | Loss 1.4317 | Accuracy 0.6024 | Time : 1.2870 | Loop_Time : 0.4064 | Model_Time : 0.8804 | x_y_time : 0.0016 | pred_time : 0.3321 | backward_time : 0.4390 | optim_time : 0.0972 
Epoch 00008 | Loss 1.4168 | Accuracy 0.5973 | Time : 1.2763 | Loop_Time : 0.3995 | Model_Time : 0.8767 | x_y_time : 0.0015 | pred_time : 0.3301 | backward_time : 0.4399 | optim_time : 0.0945 
Epoch 00009 | Loss 1.4013 | Accuracy 0.6047 | Time : 1.2811 | Loop_Time : 0.4002 | Model_Time : 0.8807 | x_y_time : 0.0015 | pred_time : 0.3301 | backward_time : 0.4418 | optim_time : 0.0967 
Epoch 00010 | Loss 1.3887 | Accuracy 0.5998 | Time : 1.2823 | Loop_Time : 0.4018 | Model_Time : 0.8803 | x_y_time : 0.0015 | pred_time : 0.3308 | backward_time : 0.4410 | optim_time : 0.0962 
Epoch 00011 | Loss 1.3786 | Accuracy 0.6045 | Time : 1.2769 | Loop_Time : 0.3993 | Model_Time : 0.8774 | x_y_time : 0.0015 | pred_time : 0.3298 | backward_time : 0.4409 | optim_time : 0.0946 
Epoch 00012 | Loss 1.3693 | Accuracy 0.6069 | Time : 1.2924 | Loop_Time : 0.4088 | Model_Time : 0.8834 | x_y_time : 0.0016 | pred_time : 0.3332 | backward_time : 0.4407 | optim_time : 0.0974 
Epoch 00013 | Loss 1.3611 | Accuracy 0.6064 | Time : 1.2884 | Loop_Time : 0.4056 | Model_Time : 0.8826 | x_y_time : 0.0016 | pred_time : 0.3324 | backward_time : 0.4407 | optim_time : 0.0974 
Epoch 00014 | Loss 1.3561 | Accuracy 0.6059 | Time : 1.2826 | Loop_Time : 0.4016 | Model_Time : 0.8808 | x_y_time : 0.0015 | pred_time : 0.3320 | backward_time : 0.4406 | optim_time : 0.0960 
Epoch 00015 | Loss 1.3465 | Accuracy 0.6098 | Time : 1.2809 | Loop_Time : 0.4010 | Model_Time : 0.8798 | x_y_time : 0.0015 | pred_time : 0.3304 | backward_time : 0.4409 | optim_time : 0.0963 
