Dataset = ogbn-products, batch_size = 8192
Layer_1 48062 | Layer_2 88306 | Layer_3 124972
Epoch 00000 | Loss 2.9745 | Accuracy 0.7225 | Time : 1.5028 | Loop_Time : 0.1786 | Model_Time : 1.3241 | x_y_time : 0.0007 | pred_time : 1.1093 | backward_time : 0.1623 | optim_time : 0.0224 
Epoch 00001 | Loss 1.2973 | Accuracy 0.7952 | Time : 0.5156 | Loop_Time : 0.1189 | Model_Time : 0.3966 | x_y_time : 0.0004 | pred_time : 0.1781 | backward_time : 0.1694 | optim_time : 0.0228 
Epoch 00002 | Loss 1.0112 | Accuracy 0.8290 | Time : 0.5162 | Loop_Time : 0.1194 | Model_Time : 0.3967 | x_y_time : 0.0004 | pred_time : 0.1782 | backward_time : 0.1694 | optim_time : 0.0227 
Epoch 00003 | Loss 0.8683 | Accuracy 0.8445 | Time : 0.5147 | Loop_Time : 0.1179 | Model_Time : 0.3967 | x_y_time : 0.0004 | pred_time : 0.1779 | backward_time : 0.1694 | optim_time : 0.0226 
Epoch 00004 | Loss 0.7846 | Accuracy 0.8500 | Time : 0.5145 | Loop_Time : 0.1177 | Model_Time : 0.3967 | x_y_time : 0.0004 | pred_time : 0.1778 | backward_time : 0.1698 | optim_time : 0.0233 
Epoch 00005 | Loss 0.7084 | Accuracy 0.8565 | Time : 0.5148 | Loop_Time : 0.1180 | Model_Time : 0.3967 | x_y_time : 0.0004 | pred_time : 0.1778 | backward_time : 0.1695 | optim_time : 0.0232 
Epoch 00006 | Loss 0.6882 | Accuracy 0.8604 | Time : 0.5151 | Loop_Time : 0.1185 | Model_Time : 0.3965 | x_y_time : 0.0004 | pred_time : 0.1778 | backward_time : 0.1696 | optim_time : 0.0231 
Epoch 00007 | Loss 0.6421 | Accuracy 0.8616 | Time : 0.5140 | Loop_Time : 0.1177 | Model_Time : 0.3962 | x_y_time : 0.0004 | pred_time : 0.1776 | backward_time : 0.1696 | optim_time : 0.0230 
Epoch 00008 | Loss 0.6470 | Accuracy 0.8631 | Time : 0.5148 | Loop_Time : 0.1180 | Model_Time : 0.3967 | x_y_time : 0.0004 | pred_time : 0.1778 | backward_time : 0.1698 | optim_time : 0.0223 
Epoch 00009 | Loss 0.5938 | Accuracy 0.8657 | Time : 0.5145 | Loop_Time : 0.1182 | Model_Time : 0.3963 | x_y_time : 0.0004 | pred_time : 0.1777 | backward_time : 0.1696 | optim_time : 0.0227 
Epoch 00010 | Loss 0.6093 | Accuracy 0.8689 | Time : 0.5131 | Loop_Time : 0.1169 | Model_Time : 0.3962 | x_y_time : 0.0004 | pred_time : 0.1777 | backward_time : 0.1694 | optim_time : 0.0228 
