Dataset = ogbn-products, batch_size = 1024
Layer_1 17914 | Layer_2 82873 | Layer_3 188828
Epoch 00000 | Loss 1.3443 | Accuracy 0.8462 | Time : 3.3195 | Loop_Time : 0.6553 | Model_Time : 2.6639 | x_y_time : 0.0038 | pred_time : 1.7262 | backward_time : 0.6932 | optim_time : 0.1157 
Epoch 00001 | Loss 0.5928 | Accuracy 0.8677 | Time : 2.4208 | Loop_Time : 0.6126 | Model_Time : 1.8080 | x_y_time : 0.0018 | pred_time : 0.8465 | backward_time : 0.7210 | optim_time : 0.1174 
Epoch 00002 | Loss 0.4864 | Accuracy 0.8749 | Time : 2.4076 | Loop_Time : 0.6033 | Model_Time : 1.8042 | x_y_time : 0.0018 | pred_time : 0.8430 | backward_time : 0.7219 | optim_time : 0.1174 
Epoch 00003 | Loss 0.4381 | Accuracy 0.8810 | Time : 2.4238 | Loop_Time : 0.6131 | Model_Time : 1.8105 | x_y_time : 0.0019 | pred_time : 0.8470 | backward_time : 0.7249 | optim_time : 0.1169 
Epoch 00004 | Loss 0.4104 | Accuracy 0.8829 | Time : 2.4221 | Loop_Time : 0.6113 | Model_Time : 1.8106 | x_y_time : 0.0018 | pred_time : 0.8474 | backward_time : 0.7243 | optim_time : 0.1204 
Epoch 00005 | Loss 0.3913 | Accuracy 0.8869 | Time : 2.4125 | Loop_Time : 0.6081 | Model_Time : 1.8043 | x_y_time : 0.0018 | pred_time : 0.8435 | backward_time : 0.7208 | optim_time : 0.1190 
Epoch 00006 | Loss 0.3744 | Accuracy 0.8888 | Time : 2.4077 | Loop_Time : 0.6045 | Model_Time : 1.8030 | x_y_time : 0.0018 | pred_time : 0.8419 | backward_time : 0.7209 | optim_time : 0.1187 
Epoch 00007 | Loss 0.3634 | Accuracy 0.8920 | Time : 2.4032 | Loop_Time : 0.6010 | Model_Time : 1.8020 | x_y_time : 0.0018 | pred_time : 0.8411 | backward_time : 0.7208 | optim_time : 0.1166 
Epoch 00008 | Loss 0.3553 | Accuracy 0.8920 | Time : 2.4139 | Loop_Time : 0.6093 | Model_Time : 1.8044 | x_y_time : 0.0018 | pred_time : 0.8438 | backward_time : 0.7201 | optim_time : 0.1181 
Epoch 00009 | Loss 0.3482 | Accuracy 0.8931 | Time : 2.4062 | Loop_Time : 0.6033 | Model_Time : 1.8027 | x_y_time : 0.0018 | pred_time : 0.8429 | backward_time : 0.7192 | optim_time : 0.1173 
Epoch 00010 | Loss 0.3418 | Accuracy 0.8953 | Time : 2.4094 | Loop_Time : 0.6065 | Model_Time : 1.8028 | x_y_time : 0.0018 | pred_time : 0.8433 | backward_time : 0.7190 | optim_time : 0.1186 
Epoch 00011 | Loss 0.3355 | Accuracy 0.8954 | Time : 2.4064 | Loop_Time : 0.6045 | Model_Time : 1.8017 | x_y_time : 0.0018 | pred_time : 0.8423 | backward_time : 0.7188 | optim_time : 0.1153 
Epoch 00012 | Loss 0.3306 | Accuracy 0.8973 | Time : 2.4025 | Loop_Time : 0.6119 | Model_Time : 1.7904 | x_y_time : 0.0019 | pred_time : 0.8453 | backward_time : 0.7041 | optim_time : 0.1197 
Epoch 00013 | Loss 0.3270 | Accuracy 0.8969 | Time : 2.3752 | Loop_Time : 0.5976 | Model_Time : 1.7774 | x_y_time : 0.0018 | pred_time : 0.8404 | backward_time : 0.6959 | optim_time : 0.1138 
Epoch 00014 | Loss 0.3238 | Accuracy 0.8971 | Time : 2.4893 | Loop_Time : 0.7100 | Model_Time : 1.7791 | x_y_time : 0.0018 | pred_time : 0.8396 | backward_time : 0.6984 | optim_time : 0.1151 
Epoch 00015 | Loss 0.3194 | Accuracy 0.8986 | Time : 2.3755 | Loop_Time : 0.5998 | Model_Time : 1.7755 | x_y_time : 0.0018 | pred_time : 0.8428 | backward_time : 0.6905 | optim_time : 0.1184 
Epoch 00016 | Loss 0.3174 | Accuracy 0.8983 | Time : 2.3905 | Loop_Time : 0.6049 | Model_Time : 1.7855 | x_y_time : 0.0018 | pred_time : 0.8451 | backward_time : 0.6983 | optim_time : 0.1194 
Epoch 00017 | Loss 0.3143 | Accuracy 0.8969 | Time : 2.3726 | Loop_Time : 0.5979 | Model_Time : 1.7745 | x_y_time : 0.0018 | pred_time : 0.8414 | backward_time : 0.6897 | optim_time : 0.1163 
Epoch 00018 | Loss 0.3134 | Accuracy 0.8971 | Time : 2.3832 | Loop_Time : 0.6010 | Model_Time : 1.7821 | x_y_time : 0.0018 | pred_time : 0.8419 | backward_time : 0.6969 | optim_time : 0.1186 
Epoch 00019 | Loss 0.3119 | Accuracy 0.8997 | Time : 2.3921 | Loop_Time : 0.6015 | Model_Time : 1.7904 | x_y_time : 0.0018 | pred_time : 0.8427 | backward_time : 0.7051 | optim_time : 0.1182 
Epoch 00020 | Loss 0.3093 | Accuracy 0.8996 | Time : 2.3897 | Loop_Time : 0.6028 | Model_Time : 1.7867 | x_y_time : 0.0018 | pred_time : 0.8430 | backward_time : 0.7009 | optim_time : 0.1201 
Epoch 00021 | Loss 0.3067 | Accuracy 0.9000 | Time : 2.4068 | Loop_Time : 0.6055 | Model_Time : 1.8011 | x_y_time : 0.0018 | pred_time : 0.8438 | backward_time : 0.7145 | optim_time : 0.1186 
Epoch 00022 | Loss 0.3063 | Accuracy 0.8995 | Time : 2.4015 | Loop_Time : 0.6021 | Model_Time : 1.7992 | x_y_time : 0.0018 | pred_time : 0.8429 | backward_time : 0.7134 | optim_time : 0.1197 
Epoch 00023 | Loss 0.3057 | Accuracy 0.8971 | Time : 2.4222 | Loop_Time : 0.6123 | Model_Time : 1.8098 | x_y_time : 0.0018 | pred_time : 0.8490 | backward_time : 0.7177 | optim_time : 0.1217 
Epoch 00024 | Loss 0.3036 | Accuracy 0.8993 | Time : 2.4329 | Loop_Time : 0.6172 | Model_Time : 1.8156 | x_y_time : 0.0019 | pred_time : 0.8534 | backward_time : 0.7177 | optim_time : 0.1258 
Epoch 00025 | Loss 0.3018 | Accuracy 0.9019 | Time : 2.4326 | Loop_Time : 0.6181 | Model_Time : 1.8143 | x_y_time : 0.0019 | pred_time : 0.8522 | backward_time : 0.7180 | optim_time : 0.1254 
Epoch 00026 | Loss 0.3007 | Accuracy 0.9013 | Time : 2.4091 | Loop_Time : 0.6065 | Model_Time : 1.8024 | x_y_time : 0.0018 | pred_time : 0.8473 | backward_time : 0.7091 | optim_time : 0.1200 
Epoch 00027 | Loss 0.2983 | Accuracy 0.9012 | Time : 2.4200 | Loop_Time : 0.6104 | Model_Time : 1.8095 | x_y_time : 0.0018 | pred_time : 0.8467 | backward_time : 0.7178 | optim_time : 0.1198 
Epoch 00028 | Loss 0.2973 | Accuracy 0.8992 | Time : 2.4174 | Loop_Time : 0.6110 | Model_Time : 1.8061 | x_y_time : 0.0019 | pred_time : 0.8464 | backward_time : 0.7142 | optim_time : 0.1193 
Epoch 00029 | Loss 0.2981 | Accuracy 0.8999 | Time : 2.4093 | Loop_Time : 0.6022 | Model_Time : 1.8069 | x_y_time : 0.0018 | pred_time : 0.8436 | backward_time : 0.7178 | optim_time : 0.1174 
Epoch 00030 | Loss 0.2961 | Accuracy 0.9006 | Time : 2.4023 | Loop_Time : 0.6006 | Model_Time : 1.8015 | x_y_time : 0.0018 | pred_time : 0.8429 | backward_time : 0.7130 | optim_time : 0.1179 
Epoch 00031 | Loss 0.2938 | Accuracy 0.9007 | Time : 2.4204 | Loop_Time : 0.6095 | Model_Time : 1.8107 | x_y_time : 0.0018 | pred_time : 0.8488 | backward_time : 0.7158 | optim_time : 0.1209 
Epoch 00032 | Loss 0.2952 | Accuracy 0.9026 | Time : 2.3990 | Loop_Time : 0.6018 | Model_Time : 1.7970 | x_y_time : 0.0018 | pred_time : 0.8437 | backward_time : 0.7072 | optim_time : 0.1176 
Epoch 00033 | Loss 0.2932 | Accuracy 0.9023 | Time : 2.3735 | Loop_Time : 0.5995 | Model_Time : 1.7737 | x_y_time : 0.0018 | pred_time : 0.8433 | backward_time : 0.6857 | optim_time : 0.1150 
Epoch 00034 | Loss 0.2952 | Accuracy 0.9015 | Time : 2.3583 | Loop_Time : 0.5983 | Model_Time : 1.7599 | x_y_time : 0.0018 | pred_time : 0.8421 | backward_time : 0.6729 | optim_time : 0.1144 
Epoch 00035 | Loss 0.2925 | Accuracy 0.9039 | Time : 2.3513 | Loop_Time : 0.5928 | Model_Time : 1.7583 | x_y_time : 0.0018 | pred_time : 0.8402 | backward_time : 0.6725 | optim_time : 0.1159 
