Dataset = yelp, batch_size = 32768
Layer_1 229571 | Layer_2 539548 | Layer_3 668498
Epoch 00000 | Loss 0.8917 | Accuracy 0.9057| f1_micro 0.1881 | f1_macro 0.0204 | Time : 2.8735 | Loop_Time : 0.2103 | Model_Time : 2.6631 | x_y_time : 0.0004 | pred_time : 1.8898 | backward_time : 0.6826 | optim_time : 0.0149 
Epoch 00001 | Loss 0.3556 | Accuracy 0.9105| f1_micro 0.1496 | f1_macro 0.0108 | Time : 1.6605 | Loop_Time : 0.2048 | Model_Time : 1.4556 | x_y_time : 0.0002 | pred_time : 0.6848 | backward_time : 0.6804 | optim_time : 0.0144 
Epoch 00002 | Loss 0.3094 | Accuracy 0.9109| f1_micro 0.1469 | f1_macro 0.0101 | Time : 1.6592 | Loop_Time : 0.2032 | Model_Time : 1.4559 | x_y_time : 0.0002 | pred_time : 0.6846 | backward_time : 0.6811 | optim_time : 0.0144 
Epoch 00003 | Loss 0.2909 | Accuracy 0.9110| f1_micro 0.1464 | f1_macro 0.0098 | Time : 1.6630 | Loop_Time : 0.2040 | Model_Time : 1.4589 | x_y_time : 0.0002 | pred_time : 0.6860 | backward_time : 0.6822 | optim_time : 0.0143 
Epoch 00004 | Loss 0.2794 | Accuracy 0.9118| f1_micro 0.1605 | f1_macro 0.0137 | Time : 1.6621 | Loop_Time : 0.2009 | Model_Time : 1.4610 | x_y_time : 0.0002 | pred_time : 0.6880 | backward_time : 0.6834 | optim_time : 0.0139 
Epoch 00005 | Loss 0.2718 | Accuracy 0.9126| f1_micro 0.1667 | f1_macro 0.0161 | Time : 1.6632 | Loop_Time : 0.2033 | Model_Time : 1.4598 | x_y_time : 0.0002 | pred_time : 0.6864 | backward_time : 0.6838 | optim_time : 0.0143 
Epoch 00006 | Loss 0.2657 | Accuracy 0.9136| f1_micro 0.1860 | f1_macro 0.0203 | Time : 1.6698 | Loop_Time : 0.2137 | Model_Time : 1.4560 | x_y_time : 0.0003 | pred_time : 0.6832 | backward_time : 0.6823 | optim_time : 0.0156 
Epoch 00007 | Loss 0.2613 | Accuracy 0.9143| f1_micro 0.1993 | f1_macro 0.0230 | Time : 1.6764 | Loop_Time : 0.2159 | Model_Time : 1.4604 | x_y_time : 0.0003 | pred_time : 0.6864 | backward_time : 0.6825 | optim_time : 0.0159 
Epoch 00008 | Loss 0.2567 | Accuracy 0.9149| f1_micro 0.2158 | f1_macro 0.0263 | Time : 1.6762 | Loop_Time : 0.2166 | Model_Time : 1.4595 | x_y_time : 0.0002 | pred_time : 0.6856 | backward_time : 0.6820 | optim_time : 0.0156 
Epoch 00009 | Loss 0.2535 | Accuracy 0.9154| f1_micro 0.2232 | f1_macro 0.0287 | Time : 1.6557 | Loop_Time : 0.1987 | Model_Time : 1.4570 | x_y_time : 0.0002 | pred_time : 0.6836 | backward_time : 0.6851 | optim_time : 0.0138 
Epoch 00010 | Loss 0.2503 | Accuracy 0.9162| f1_micro 0.2473 | f1_macro 0.0352 | Time : 1.6666 | Loop_Time : 0.2038 | Model_Time : 1.4626 | x_y_time : 0.0002 | pred_time : 0.6867 | backward_time : 0.6857 | optim_time : 0.0145 
Epoch 00011 | Loss 0.2475 | Accuracy 0.9164| f1_micro 0.2423 | f1_macro 0.0351 | Time : 1.6656 | Loop_Time : 0.2067 | Model_Time : 1.4587 | x_y_time : 0.0002 | pred_time : 0.6836 | backward_time : 0.6844 | optim_time : 0.0151 
Epoch 00012 | Loss 0.2459 | Accuracy 0.9174| f1_micro 0.2782 | f1_macro 0.0462 | Time : 1.6697 | Loop_Time : 0.2055 | Model_Time : 1.4641 | x_y_time : 0.0002 | pred_time : 0.6870 | backward_time : 0.6870 | optim_time : 0.0164 
Epoch 00013 | Loss 0.2438 | Accuracy 0.9175| f1_micro 0.2711 | f1_macro 0.0456 | Time : 1.6717 | Loop_Time : 0.2057 | Model_Time : 1.4659 | x_y_time : 0.0002 | pred_time : 0.6886 | backward_time : 0.6868 | optim_time : 0.0170 
Epoch 00014 | Loss 0.2420 | Accuracy 0.9177| f1_micro 0.2689 | f1_macro 0.0464 | Time : 1.6701 | Loop_Time : 0.2091 | Model_Time : 1.4609 | x_y_time : 0.0003 | pred_time : 0.6860 | backward_time : 0.6836 | optim_time : 0.0157 
Epoch 00015 | Loss 0.2402 | Accuracy 0.9183| f1_micro 0.2881 | f1_macro 0.0538 | Time : 1.6809 | Loop_Time : 0.2172 | Model_Time : 1.4635 | x_y_time : 0.0002 | pred_time : 0.6890 | backward_time : 0.6829 | optim_time : 0.0163 
Epoch 00016 | Loss 0.2393 | Accuracy 0.9189| f1_micro 0.3017 | f1_macro 0.0595 | Time : 1.6822 | Loop_Time : 0.2173 | Model_Time : 1.4648 | x_y_time : 0.0002 | pred_time : 0.6886 | backward_time : 0.6845 | optim_time : 0.0166 
Epoch 00017 | Loss 0.2383 | Accuracy 0.9175| f1_micro 0.2510 | f1_macro 0.0445 | Time : 1.6669 | Loop_Time : 0.2072 | Model_Time : 1.4596 | x_y_time : 0.0002 | pred_time : 0.6849 | backward_time : 0.6841 | optim_time : 0.0156 
Epoch 00018 | Loss 0.2387 | Accuracy 0.9185| f1_micro 0.2802 | f1_macro 0.0534 | Time : 1.6748 | Loop_Time : 0.2091 | Model_Time : 1.4656 | x_y_time : 0.0002 | pred_time : 0.6887 | backward_time : 0.6876 | optim_time : 0.0158 
Epoch 00019 | Loss 0.2369 | Accuracy 0.9183| f1_micro 0.2718 | f1_macro 0.0510 | Time : 1.6813 | Loop_Time : 0.2179 | Model_Time : 1.4632 | x_y_time : 0.0002 | pred_time : 0.6880 | backward_time : 0.6846 | optim_time : 0.0161 
Epoch 00020 | Loss 0.2364 | Accuracy 0.9188| f1_micro 0.2831 | f1_macro 0.0556 | Time : 1.6830 | Loop_Time : 0.2186 | Model_Time : 1.4643 | x_y_time : 0.0003 | pred_time : 0.6873 | backward_time : 0.6850 | optim_time : 0.0159 
Epoch 00021 | Loss 0.2350 | Accuracy 0.9195| f1_micro 0.3074 | f1_macro 0.0635 | Time : 1.6809 | Loop_Time : 0.2172 | Model_Time : 1.4636 | x_y_time : 0.0003 | pred_time : 0.6869 | backward_time : 0.6837 | optim_time : 0.0159 
Epoch 00022 | Loss 0.2341 | Accuracy 0.9203| f1_micro 0.3405 | f1_macro 0.0768 | Time : 1.6721 | Loop_Time : 0.2042 | Model_Time : 1.4679 | x_y_time : 0.0002 | pred_time : 0.6892 | backward_time : 0.6878 | optim_time : 0.0147 
Epoch 00023 | Loss 0.2339 | Accuracy 0.9197| f1_micro 0.3050 | f1_macro 0.0644 | Time : 1.6734 | Loop_Time : 0.2051 | Model_Time : 1.4682 | x_y_time : 0.0003 | pred_time : 0.6891 | backward_time : 0.6876 | optim_time : 0.0151 
Epoch 00024 | Loss 0.2334 | Accuracy 0.9205| f1_micro 0.3450 | f1_macro 0.0796 | Time : 1.6738 | Loop_Time : 0.2047 | Model_Time : 1.4691 | x_y_time : 0.0002 | pred_time : 0.6899 | backward_time : 0.6883 | optim_time : 0.0152 
Epoch 00025 | Loss 0.2329 | Accuracy 0.9198| f1_micro 0.3049 | f1_macro 0.0653 | Time : 1.6704 | Loop_Time : 0.2039 | Model_Time : 1.4664 | x_y_time : 0.0002 | pred_time : 0.6885 | backward_time : 0.6873 | optim_time : 0.0150 
Epoch 00026 | Loss 0.2321 | Accuracy 0.9206| f1_micro 0.3358 | f1_macro 0.0758 | Time : 1.6752 | Loop_Time : 0.2051 | Model_Time : 1.4699 | x_y_time : 0.0002 | pred_time : 0.6897 | backward_time : 0.6886 | optim_time : 0.0157 
Epoch 00027 | Loss 0.2317 | Accuracy 0.9212| f1_micro 0.3672 | f1_macro 0.0910 | Time : 1.6775 | Loop_Time : 0.2050 | Model_Time : 1.4724 | x_y_time : 0.0002 | pred_time : 0.6917 | backward_time : 0.6892 | optim_time : 0.0157 
Epoch 00028 | Loss 0.2318 | Accuracy 0.9210| f1_micro 0.3464 | f1_macro 0.0822 | Time : 1.6686 | Loop_Time : 0.1993 | Model_Time : 1.4692 | x_y_time : 0.0002 | pred_time : 0.6891 | backward_time : 0.6894 | optim_time : 0.0143 
Epoch 00029 | Loss 0.2311 | Accuracy 0.9211| f1_micro 0.3518 | f1_macro 0.0841 | Time : 1.6791 | Loop_Time : 0.2093 | Model_Time : 1.4697 | x_y_time : 0.0003 | pred_time : 0.6904 | backward_time : 0.6866 | optim_time : 0.0157 
Epoch 00030 | Loss 0.2305 | Accuracy 0.9211| f1_micro 0.3489 | f1_macro 0.0833 | Time : 1.6888 | Loop_Time : 0.2168 | Model_Time : 1.4719 | x_y_time : 0.0002 | pred_time : 0.6912 | backward_time : 0.6871 | optim_time : 0.0166 
Epoch 00031 | Loss 0.2302 | Accuracy 0.9207| f1_micro 0.3301 | f1_macro 0.0750 | Time : 1.6825 | Loop_Time : 0.2112 | Model_Time : 1.4712 | x_y_time : 0.0002 | pred_time : 0.6904 | backward_time : 0.6888 | optim_time : 0.0148 
Epoch 00032 | Loss 0.2307 | Accuracy 0.9214| f1_micro 0.3672 | f1_macro 0.0915 | Time : 1.6780 | Loop_Time : 0.2052 | Model_Time : 1.4727 | x_y_time : 0.0002 | pred_time : 0.6910 | backward_time : 0.6886 | optim_time : 0.0154 
Epoch 00033 | Loss 0.2299 | Accuracy 0.9209| f1_micro 0.3364 | f1_macro 0.0776 | Time : 1.6892 | Loop_Time : 0.2158 | Model_Time : 1.4733 | x_y_time : 0.0003 | pred_time : 0.6924 | backward_time : 0.6868 | optim_time : 0.0162 
Epoch 00034 | Loss 0.2294 | Accuracy 0.9208| f1_micro 0.3338 | f1_macro 0.0763 | Time : 1.6844 | Loop_Time : 0.2120 | Model_Time : 1.4723 | x_y_time : 0.0002 | pred_time : 0.6903 | backward_time : 0.6890 | optim_time : 0.0161 
Epoch 00035 | Loss 0.2294 | Accuracy 0.9213| f1_micro 0.3546 | f1_macro 0.0853 | Time : 1.6785 | Loop_Time : 0.2052 | Model_Time : 1.4732 | x_y_time : 0.0002 | pred_time : 0.6900 | backward_time : 0.6899 | optim_time : 0.0152 
Epoch 00036 | Loss 0.2295 | Accuracy 0.9216| f1_micro 0.3940 | f1_macro 0.1041 | Time : 1.6955 | Loop_Time : 0.2201 | Model_Time : 1.4753 | x_y_time : 0.0003 | pred_time : 0.6941 | backward_time : 0.6870 | optim_time : 0.0181 
Epoch 00037 | Loss 0.2298 | Accuracy 0.9198| f1_micro 0.2992 | f1_macro 0.0633 | Time : 1.6769 | Loop_Time : 0.2052 | Model_Time : 1.4716 | x_y_time : 0.0002 | pred_time : 0.6903 | backward_time : 0.6890 | optim_time : 0.0148 
Epoch 00038 | Loss 0.2291 | Accuracy 0.9216| f1_micro 0.3729 | f1_macro 0.0931 | Time : 1.6846 | Loop_Time : 0.2113 | Model_Time : 1.4731 | x_y_time : 0.0002 | pred_time : 0.6908 | backward_time : 0.6884 | optim_time : 0.0162 
Epoch 00039 | Loss 0.2288 | Accuracy 0.9207| f1_micro 0.3259 | f1_macro 0.0739 | Time : 1.6789 | Loop_Time : 0.2067 | Model_Time : 1.4721 | x_y_time : 0.0002 | pred_time : 0.6928 | backward_time : 0.6871 | optim_time : 0.0154 
Epoch 00040 | Loss 0.2281 | Accuracy 0.9215| f1_micro 0.3526 | f1_macro 0.0855 | Time : 1.6868 | Loop_Time : 0.2161 | Model_Time : 1.4706 | x_y_time : 0.0003 | pred_time : 0.6904 | backward_time : 0.6871 | optim_time : 0.0162 
Epoch 00041 | Loss 0.2277 | Accuracy 0.9210| f1_micro 0.3315 | f1_macro 0.0770 | Time : 1.6877 | Loop_Time : 0.2169 | Model_Time : 1.4707 | x_y_time : 0.0002 | pred_time : 0.6901 | backward_time : 0.6888 | optim_time : 0.0159 
Epoch 00042 | Loss 0.2293 | Accuracy 0.9201| f1_micro 0.3063 | f1_macro 0.0664 | Time : 1.6819 | Loop_Time : 0.2100 | Model_Time : 1.4718 | x_y_time : 0.0003 | pred_time : 0.6907 | backward_time : 0.6874 | optim_time : 0.0157 
Epoch 00043 | Loss 0.2284 | Accuracy 0.9211| f1_micro 0.3393 | f1_macro 0.0792 | Time : 1.6894 | Loop_Time : 0.2181 | Model_Time : 1.4712 | x_y_time : 0.0002 | pred_time : 0.6908 | backward_time : 0.6867 | optim_time : 0.0157 
Epoch 00044 | Loss 0.2275 | Accuracy 0.9216| f1_micro 0.3623 | f1_macro 0.0897 | Time : 1.6886 | Loop_Time : 0.2189 | Model_Time : 1.4696 | x_y_time : 0.0003 | pred_time : 0.6902 | backward_time : 0.6871 | optim_time : 0.0155 
Epoch 00045 | Loss 0.2275 | Accuracy 0.9209| f1_micro 0.3297 | f1_macro 0.0756 | Time : 1.6869 | Loop_Time : 0.2182 | Model_Time : 1.4686 | x_y_time : 0.0002 | pred_time : 0.6898 | backward_time : 0.6863 | optim_time : 0.0157 
Epoch 00046 | Loss 0.2273 | Accuracy 0.9209| f1_micro 0.3278 | f1_macro 0.0753 | Time : 1.6778 | Loop_Time : 0.2082 | Model_Time : 1.4694 | x_y_time : 0.0002 | pred_time : 0.6904 | backward_time : 0.6877 | optim_time : 0.0152 
Epoch 00047 | Loss 0.2269 | Accuracy 0.9216| f1_micro 0.3527 | f1_macro 0.0862 | Time : 1.6873 | Loop_Time : 0.2184 | Model_Time : 1.4688 | x_y_time : 0.0003 | pred_time : 0.6902 | backward_time : 0.6856 | optim_time : 0.0166 
